R,G,B,C,E,S,L,V,O,T,Y
0.672222222,0.7375,0.710227273,0.5,0.6,0,1,1,0,0.5,0
0.833333333,0.6625,0.630681818,1,0.8,0,1,1,0,0.5,0
0.822222222,0.66875,0.522727273,1,0.8,0,1,1,0,0.5,0
0.894444444,0.88125,0.829545455,1,0.8,0,1,1,0,0.5,1
0.688888889,0.5,0.295454545,1,0.8,0,1,1,0,0.5,2
0.883333333,0.8625,0.772727273,1,0.8,0,1,1,0,0.5,2
0.694444444,0.6125,0.596590909,0.5,0.6,0,1,1,0,0.5,1
0.55,0.45,0.369318182,1,0,1,1,0,1,0,0
0.616666667,0.7125,0.693181818,0,0.2,1,1,1,0,1,3
0.772222222,0.7125,0.6875,1,0.4,0,1,1,1,1,2
0.627777778,0.51875,0.613636364,0.5,0.4,1,1,1,0,1,2
0.538888889,0.43125,0.386363636,0,0.6,0,1,1,0,0.5,0
0.905555556,0.925,1,0,0.4,0,1,1,0,1,3
0.755555556,0.6,0.511363636,1,1,0,1,1,0,1,2
0.655555556,0.5,0.397727273,1,0.8,0,1,0,1,1,4
0.527777778,0.35625,0.272727273,0.5,0.6,1,1,1,0,0.5,4
0.877777778,0.70625,0.568181818,0.5,0.6,1,1,1,0,1,4
0.661111111,0.5,0.278409091,1,0.8,1,1,1,0,0.5,1
0.7,0.5,0.289772727,1,0.6,0,1,1,0,1,4
0.6,0.6,0.585227273,1,1,0,0,1,0,0.5,3
0.611111111,0.625,0.710227273,0,0.6,0,1,0,1,1,3
0.872222222,0.70625,0.568181818,1,0.4,1,1,1,1,0,5
0.516666667,0.3125,0.284090909,0.5,0.8,1,1,0,0,0.5,1
0.633333333,0.375,0.386363636,0.5,0.8,1,1,0,1,0,0
0.5,0.325,0.244318182,0.5,0.8,1,1,0,1,0,4
0.427777778,0.28125,0.278409091,1,0.8,1,1,0,0,0.5,3
0.461111111,0.36875,0.318181818,0.5,0.4,0,1,1,0,0.5,2
0.4,0.34375,0.465909091,1,0,1,1,1,1,0.5,4
0.694444444,0.3875,0.238636364,1,1,1,0,1,1,0,2
0.611111111,0.60625,0.653409091,0.5,0.6,0,1,0,0,0.5,3
0.333333333,0.13125,0.079545455,1,0.8,0,0,1,0,0.5,4
0.511111111,0.41875,0.386363636,1,0.6,0,1,1,1,0.5,4
0.605555556,0.69375,0.732954545,0,0.2,1,1,0,1,0.5,3
0.855555556,0.7125,0.551136364,1,0.6,1,1,1,0,0.5,2
0.538888889,0.425,0.375,0,0,1,0,1,1,0,1
